Site,Date,Month,Year,MonYr,Station,Location,Latitude,Longitude,Time,Depth,Temp,Sal,DO_mg/l,DO,Sampling_Depth,Secchi,Per_Secchi
TB,9/17/2007,9,2007,9/2007,3,Tarpon Key,27.66,-82.68733333,10:52,2.5,28.79,33.62,Z,Z,Surface,2.5,100
TB,9/17/2007,9,2007,9/2007,5,Ft. DeSoto,27.64463333,-82.72221667,9:45,1,28.43,34.78,Z,Z,Surface,1,100
TB,10/23/2007,10,2007,10/2007,1,Indian Key ,27.69983333,-82.69508333,7:55,1.5,24.39,31.04,Z,Z,Surface,1,66.7
TB,10/23/2007,10,2007,10/2007,3,Tarpon Key,27.66,-82.68733333,8:27,2.4,24.47,31.19,Z,Z,Surface,2,83.3
TB,10/23/2007,10,2007,10/2007,5,Ft. DeSoto,27.64463333,-82.72221667,9:15,1.2,24.33,33.17,Z,Z,Surface,1.2,100
TB,11/19/2007,11,2007,11/2007,1,Indian Key ,27.69983333,-82.69508333,8:34,1.5,15.75,33.58,Z,Z,Surface,1.5,100
TB,11/20/2007,11,2007,11/2007,3,Tarpon Key,27.66,-82.68733333,Z,Z,Z,Z,Z,Z,Surface,Z,Z
TB,11/20/2007,11,2007,11/2007,5,Ft. DeSoto,27.64463333,-82.72221667,Z,Z,Z,Z,Z,Z,Surface,Z,Z
TB,12/18/2007,12,2007,12/2007,1,Indian Key ,27.69983333,-82.69508333,12:07,1.5,18.8,36.2,Z,Z,Surface,1.5,100
TB,12/18/2007,12,2007,12/2007,3,Tarpon Key,27.66,-82.68733333,11:34,2.5,16.3,36,Z,Z,Surface,2.5,100
TB,12/18/2007,12,2007,12/2007,5,Ft. DeSoto,27.64463333,-82.72221667,10:59,0.5,16.9,36.8,Z,Z,Surface,0.5,100
TB,1/15/2008,1,2008,1/2008,1,Indian Key,27.69983333,-82.69508333,11:05,1.5,17,35.7,Z,Z,Surface,1.5,100
TB,1/15/2008,1,2008,1/2008,3,Tarpon Key,27.66,-82.68733333,10:23,2.4,16.1,35.7,Z,Z,Surface,2.4,100
TB,1/15/2008,1,2008,1/2008,5,Ft. DeSoto,27.64463333,-82.72221667,9:42,1,16.2,36.1,Z,Z,Surface,1,100
TB,2/18/2008,2,2008,2/2008,1,Indian Key,27.69983333,-82.69508333,10:15,1,20.69,31.8,Z,Z,Surface,1,100
TB,2/18/2008,2,2008,2/2008,3,Tarpon Key,27.66,-82.68733333,9:41,1.5,20.12,31.82,Z,Z,Surface,1.5,100
TB,2/18/2008,2,2008,2/2008,5,Ft. DeSoto,27.64463333,-82.72221667,9:08,1,20.29,32.52,Z,Z,Surface,1,100
TB,3/18/2008,3,2008,3/2008,1,Indian Key,27.69983333,-82.69508333,10:16,1.6,21.2,32.8,Z,Z,Surface,1.6,100
TB,3/18/2008,3,2008,3/2008,3,Tarpon Key,27.66,-82.68733333,9:42,2.4,20.9,32.4,Z,Z,Surface,2,83.3
TB,3/18/2008,3,2008,3/2008,5,Ft. DeSoto,27.64463333,-82.72221667,9:17,1,20.8,34.4,Z,Z,Surface,1,100
TB,4/21/2008,4,2008,4/2008,1,Indian Key,27.69983333,-82.69508333,10:10,1.5,22.59,35.51,Z,Z,Surface,1.25,83.3
TB,4/21/2008,4,2008,4/2008,3,Tarpon Key,27.66,-82.68733333,9:55,2.5,23.27,35.48,Z,Z,Surface,2.25,90
TB,4/21/2008,4,2008,4/2008,5,Ft. DeSoto,27.64463333,-82.72221667,9:30,1.25,22.9,36.01,Z,Z,Surface,1.25,100
TB,5/20/2008,5,2008,5/2008,1,Indian Key,27.69983333,-82.69508333,10:49,1.25,26.51,35.73,Z,Z,Surface,0.5,40
TB,5/20/2008,5,2008,5/2008,3,Tarpon Key,27.66,-82.68733333,10:33,2,26.87,35.79,Z,Z,Surface,2,100
