"Bay","Year","Month","Quarter","variable","n","mean","sd"
"HB","2013",6,"2","effort",6,23.057,19.968
"LTB","2013",6,"2","effort",2,14.45,0.523
"MTB","2013",6,"2","effort",17,13.058,14.043
"OTB","2013",6,"2","effort",5,25.076,14.732
"HB","2014",6,"2","effort",4,7.575,5.522
"LTB","2014",6,"2","effort",2,14.08,1.047
"MTB","2014",6,"2","effort",13,7.457,4.028
"OTB","2014",6,"2","effort",6,30.295,17.478
"HB","2015",6,"2","effort",4,3.855,3.264
"LTB","2015",6,"2","effort",2,28.01,18.653
"MTB","2015",6,"2","effort",9,13.174,16.078
"OTB","2015",6,"2","effort",7,27.977,17.088
"HB","2016",6,"2","effort",5,18.234,21.144
"LTB","2016",6,"2","effort",2,8.11,9.489
"MTB","2016",6,"2","effort",15,7.367,9.825
"OTB","2016",6,"2","effort",5,30.648,14.449
"HB","2017",6,"2","effort",4,2.363,3.365
"LTB","2017",6,"2","effort",2,41.2,0
"MTB","2017",6,"2","effort",8,22.53,20.104
"OTB","2017",6,"2","effort",6,36.557,11.374
"HB","2002",7,"4","effort",1,41.2,NA
"LTB","2002",7,"4","effort",4,36.422,9.555
"MTB","2002",7,"4","effort",8,19.678,16.072
"OTB","2002",7,"4","effort",1,41.2,NA
"HB","2003",7,"4","effort",2,31.645,13.513
"LTB","2003",7,"4","effort",6,25.012,14.881
"MTB","2003",7,"4","effort",16,12.797,13.3
"OTB","2003",7,"4","effort",5,33.24,17.799
"HB","2004",7,"4","effort",4,14.36,18.206
"LTB","2004",7,"4","effort",3,22.09,0
"MTB","2004",7,"4","effort",21,13.255,13.782
"OTB","2004",7,"4","effort",3,27.933,22.979
"HB","2005",7,"4","effort",5,14.152,15.864
"LTB","2005",7,"4","effort",3,32.407,15.231
"MTB","2005",7,"4","effort",18,13.077,13.42
"OTB","2005",7,"4","effort",9,32.324,13.315
"HB","2006",7,"4","effort",5,12.806,16.679
"LTB","2006",7,"4","effort",6,25.65,17.69
"MTB","2006",7,"4","effort",9,12.147,11.837
"OTB","2006",7,"4","effort",5,27.964,18.735
"HB","2007",7,"4","effort",2,20.94,28.652
"LTB","2007",7,"4","effort",5,28.262,18.484
"MTB","2007",7,"4","effort",13,14.086,12.653
"OTB","2007",7,"4","effort",7,27.766,17.28
"HB","2008",7,"4","effort",1,7.41,NA
"LTB","2008",7,"4","effort",2,28.385,18.123
"MTB","2008",7,"4","effort",7,13.19,12.671
"OTB","2008",7,"4","effort",1,14.08,NA
"HB","2009",7,"4","effort",1,41.2,NA
"LTB","2009",7,"4","effort",2,41.2,0
"MTB","2009",7,"4","effort",11,5.704,2.792
"OTB","2009",7,"4","effort",1,0,NA
"HB","2010",7,"4","effort",5,16.836,14.022
"LTB","2010",7,"4","effort",2,28.01,18.653
"MTB","2010",7,"4","effort",18,12.339,16.129
"OTB","2010",7,"4","effort",6,30.17,17.607
"HB","2011",7,"4","effort",5,19.568,20.491
"LTB","2011",7,"4","effort",6,21.13,16.335
"MTB","2011",7,"4","effort",17,10.361,12.361
"OTB","2011",7,"4","effort",13,19.577,18.46
"HB","2012",7,"4","effort",1,7.41,NA
"LTB","2012",7,"4","effort",1,41.2,NA
"MTB","2012",7,"4","effort",5,4.862,3.498
"OTB","2012",7,"4","effort",6,14.868,14.537
"HB","2013",7,"4","effort",7,16.306,17.598
"LTB","2013",7,"4","effort",4,17.69,16.774
"MTB","2013",7,"4","effort",10,9.966,11.132
"OTB","2013",7,"4","effort",5,14.878,16.253
"HB","2014",7,"4","effort",3,4.913,3.043
"LTB","2014",7,"4","effort",1,1.4,NA
"MTB","2014",7,"4","effort",11,7.552,11.58
"OTB","2014",7,"4","effort",7,25.849,19.556
"HB","2015",7,"4","effort",3,7.637,7.073
"LTB","2015",7,"4","effort",6,23.662,19.897
"MTB","2015",7,"4","effort",12,11.855,13.887
"OTB","2015",7,"4","effort",3,27.933,22.979
"HB","2016",7,"4","effort",4,2.363,3.365
"LTB","2016",7,"4","effort",1,0,NA
"MTB","2016",7,"4","effort",15,12.718,15.168
"OTB","2016",7,"4","effort",3,27.933,22.979
"HB","2017",7,"4","effort",6,17.665,18.963
"LTB","2017",7,"4","effort",5,25.28,21.799
"MTB","2017",7,"4","effort",15,14.525,16.848
"OTB","2017",7,"4","effort",5,27.964,18.735
"HB","2002",8,"4","effort",1,0.68,NA
"LTB","2002",8,"4","effort",8,26.67,13.917
"MTB","2002",8,"4","effort",4,9.762,8.798
"OTB","2002",8,"4","effort",1,41.2,NA
"HB","2003",8,"4","effort",3,18.427,19.726
"LTB","2003",8,"4","effort",6,28.46,9.868
"MTB","2003",8,"4","effort",13,12.758,13.573
"OTB","2003",8,"4","effort",4,26.472,18.988
"HB","2004",8,"4","effort",3,23.32,17.298
"LTB","2004",8,"4","effort",6,21.563,17.804
"MTB","2004",8,"4","effort",16,12.205,14.581
"OTB","2004",8,"4","effort",1,41.2,NA
"HB","2005",8,"4","effort",7,5.993,6.572
"LTB","2005",8,"4","effort",3,23.617,15.246
"MTB","2005",8,"4","effort",19,14.136,16.84
"OTB","2005",8,"4","effort",4,41.2,0
"HB","2006",8,"4","effort",4,18.06,16.673
"LTB","2006",8,"4","effort",6,27.64,14.854
"MTB","2006",8,"4","effort",17,10.757,12.14
"OTB","2006",8,"4","effort",5,27.964,18.735
"HB","2007",8,"4","effort",3,3.163,3.695
"LTB","2007",8,"4","effort",1,14.82,NA
"MTB","2007",8,"4","effort",15,14.205,14.739
"OTB","2007",8,"4","effort",6,23.413,20.027
"HB","2008",8,"4","effort",2,1.4,0
"LTB","2008",8,"4","effort",2,21.3,28.143
"MTB","2008",8,"4","effort",9,17.178,18.225
"OTB","2008",8,"4","effort",4,24.47,20
"HB","2009",8,"4","effort",2,1.04,0.509
"LTB","2009",8,"4","effort",2,41.2,0
"MTB","2009",8,"4","effort",6,7.287,0.557
"OTB","2009",8,"4","effort",1,0,NA
"HB","2010",8,"4","effort",6,10.155,16.285
"LTB","2010",8,"4","effort",5,33.24,17.799
"MTB","2010",8,"4","effort",17,12.533,14.059
"OTB","2010",8,"4","effort",7,29.829,19.42
"HB","2011",8,"4","effort",3,18.673,19.509
"LTB","2011",8,"4","effort",4,31.25,19.9
"MTB","2011",8,"4","effort",17,18.887,17.375
"OTB","2011",8,"4","effort",4,34.978,12.445
"HB","2012",8,"4","effort",2,7.04,0.523
"LTB","2012",8,"4","effort",1,15.57,NA
"MTB","2012",8,"4","effort",9,12.928,16.19
"OTB","2012",8,"4","effort",4,34.978,12.445
"HB","2013",8,"4","effort",2,23.935,24.416
"LTB","2013",8,"4","effort",3,32.16,15.658
"MTB","2013",8,"4","effort",12,18.975,16.637
